idDeputado,ano,mes,tipoDespesa,codDocumento,tipoDocumento,codTipoDocumento,dataDocumento,numDocumento,valorDocumento,urlDocumento,nomeFornecedor,cnpjCpfFornecedor,valorLiquido,valorGlosa,numRessarcimento,codLote,parcela
73806,2023.0,11.0,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,7635961.0,Nota Fiscal Eletrônica,4.0,2023-11-01,5209,492.9,http://www.camara.leg.br/cota-parlamentar/nota-fiscal-eletronica?ideDocumentoFiscal=7635961,WMS COMERCIO DE ARTIGOS DE PAPELARIA LTDA-ME,12132854000100,492.9,0.0,,1983534.0,0.0
98615,2023.0,11.0,COMBUSTÍVEIS E LUBRIFICANTES.,7635309.0,Nota Fiscal Eletrônica,4.0,2023-11-01,215802,227.77,http://www.camara.leg.br/cota-parlamentar/nota-fiscal-eletronica?ideDocumentoFiscal=7635309,POSTO DE COMBUSTIVEIS 214 SUL LTDA,08355825000130,227.77,0.0,,1983229.0,0.0
179000,2023.0,11.0,COMBUSTÍVEIS E LUBRIFICANTES.,7636012.0,Nota Fiscal Eletrônica,4.0,2023-11-01,294117,221.1,http://www.camara.leg.br/cota-parlamentar/nota-fiscal-eletronica?ideDocumentoFiscal=7636012,AUTO POSTO 303 NORTE LTDA,38194212000120,221.1,0.0,,1983538.0,0.0
220526,2023.0,11.0,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,7633060.0,Recibos/Outros,1.0,2023-10-27,201609053,238.01,https://www.camara.leg.br/cota-parlamentar/documentos/publ/3650/2023/7633060.pdf,CONDOMINIO DO EDIFICIO AUGUSTO RUSCHI,36045748000158,238.01,0.0,,1982156.0,0.0
220529,2023.0,11.0,COMBUSTÍVEIS E LUBRIFICANTES.,7635567.0,Nota Fiscal Eletrônica,4.0,2023-11-01,392071,118.18,http://www.camara.leg.br/cota-parlamentar/nota-fiscal-eletronica?ideDocumentoFiscal=7635567,AUTO POSTO 5 ESTRELAS LTDA,00692418000107,118.18,0.0,,1983354.0,0.0
220548,2023.0,11.0,COMBUSTÍVEIS E LUBRIFICANTES.,7635484.0,Nota Fiscal Eletrônica,4.0,2023-11-01,625523,164.73,http://www.camara.leg.br/cota-parlamentar/nota-fiscal-eletronica?ideDocumentoFiscal=7635484,POSTO JACKELINE DE SOUZA LOCATELLI E CIA LTDA,35185810000144,164.73,0.0,,1983339.0,0.0
220577,2023.0,11.0,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,7635954.0,Nota Fiscal Eletrônica,4.0,2023-11-01,5213,619.5,http://www.camara.leg.br/cota-parlamentar/nota-fiscal-eletronica?ideDocumentoFiscal=7635954,WMS COMERCIO DE ARTIGOS DE PAPELARIA LTDA-ME,12132854000100,619.5,0.0,,1983519.0,0.0
62881,2023.0,11.0,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,7635785.0,Nota Fiscal Eletrônica,4.0,2023-11-01,5208,805.0,http://www.camara.leg.br/cota-parlamentar/nota-fiscal-eletronica?ideDocumentoFiscal=7635785,WMS COMERCIO DE ARTIGOS DE PAPELARIA LTDA-ME,12132854000100,805.0,0.0,,1983443.0,0.0
220588,2023.0,11.0,COMBUSTÍVEIS E LUBRIFICANTES.,7635833.0,Nota Fiscal Eletrônica,4.0,2023-11-01,5773,200.01,http://www.camara.leg.br/cota-parlamentar/nota-fiscal-eletronica?ideDocumentoFiscal=7635833,AUTO POSTO CIDADE,06321359000228,200.01,0.0,,1983468.0,0.0
220604,2023.0,11.0,COMBUSTÍVEIS E LUBRIFICANTES.,7636024.0,Nota Fiscal Eletrônica,4.0,2023-11-01,856750,300.0,http://www.camara.leg.br/cota-parlamentar/nota-fiscal-eletronica?ideDocumentoFiscal=7636024,PROJAC RIO 2016 AUTO POSTO LTDA - EPP,17333912000188,300.0,0.0,,1983552.0,0.0
220615,2023.0,11.0,COMBUSTÍVEIS E LUBRIFICANTES.,7635902.0,Nota Fiscal Eletrônica,4.0,2023-10-21,41314,320.23,http://www.camara.leg.br/cota-parlamentar/nota-fiscal-eletronica?ideDocumentoFiscal=7635902,POSTO DE GASOLINA DOM PEDRO II LTDA,42331363000150,320.23,0.0,,1983494.0,0.0
220615,2023.0,11.0,COMBUSTÍVEIS E LUBRIFICANTES.,7635891.0,Nota Fiscal Eletrônica,4.0,2023-10-30,41802,304.91,http://www.camara.leg.br/cota-parlamentar/nota-fiscal-eletronica?ideDocumentoFiscal=7635891,POSTO DE GASOLINA DOM PEDRO II LTDA,42331363000150,304.91,0.0,,1983494.0,0.0
220630,2023.0,11.0,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,7634872.0,Recibos/Outros,1.0,2023-10-27,315207638,2102.17,https://www.camara.leg.br/cota-parlamentar/documentos/publ/3614/2023/7634872.pdf,CONDOMINIO DO EDIFICIO LIBERDADE,26231209000150,2102.17,0.0,,1982994.0,0.0
116379,2023.0,11.0,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,7635627.0,Nota Fiscal Eletrônica,4.0,2023-11-01,5207,698.2,http://www.camara.leg.br/cota-parlamentar/nota-fiscal-eletronica?ideDocumentoFiscal=7635627,WMS COMERCIO DE ARTIGOS DE PAPELARIA LTDA-ME,12132854000100,698.2,0.0,,1983383.0,0.0
204566,2023.0,11.0,COMBUSTÍVEIS E LUBRIFICANTES.,7636422.0,Nota Fiscal Eletrônica,4.0,2023-11-02,2017,504.0,http://www.camara.leg.br/cota-parlamentar/nota-fiscal-eletronica?ideDocumentoFiscal=7636422,SOL NASCENTE COMERCIO DE COMBUSTIVEIS LTDA,14842750000115,504.0,0.0,,1983799.0,0.0
